Thread ID: -608599848
Total: 0.053116

 %self     total     self     wait    child    calls  name
  0.06      0.02     0.00     0.00     0.02        1  ActiveRecord::Associations::AssociationProxy#method_missing
  0.06      0.00     0.00     0.00     0.00        9  SimpleForm::FormBuilder#find_attribute_column
  0.05      0.00     0.00     0.00     0.00        4  String#interpolate_without_ruby_19_syntax
  0.05      0.00     0.00     0.00     0.00       19  I18n::Config#backend
  0.05      0.00     0.00     0.00     0.00        7  ActiveRecord::ConnectionAdapters::QueryCache#select_all
  0.05      0.00     0.00     0.00     0.00       16  Array#include?
  0.05      0.00     0.00     0.00     0.00        3  ActionView::Helpers::FormBuilder#text_field
  0.05      0.00     0.00     0.00     0.00        5  HashWithIndifferentAccess#default
  0.05      0.00     0.00     0.00     0.00        6  ActionController::Routing::Route#build_query_string
  0.05      0.00     0.00     0.00     0.00        9  ActionView::Helpers::InstanceTag#tag_id
  0.05      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_enter
  0.05      0.00     0.00     0.00     0.00        5  ActionView::Helpers::TagHelper#content_tag
  0.05      0.00     0.00     0.00     0.00       14  Kernel#respond_to_without_attributes?
  0.05      0.00     0.00     0.00     0.00        5  <Class::ActiveRecord::Base>#add_order!
  0.05      0.00     0.00     0.00     0.00       11  ActionController::Base#allow_forgery_protection
  0.05      0.00     0.00     0.00     0.00        2  <Class::ActiveRecord::Base>#self_and_descendants_from_active_record
  0.05      0.00     0.00     0.00     0.00        2  #<Module:0xb7344164>#list_path
  0.05      0.00     0.00     0.00     0.00       36  Hash#key?
  0.05      0.00     0.00     0.00     0.00       30  SQLite3::Statement#column_decltype
  0.05      0.00     0.00     0.00     0.00        1  ActionView::RenderablePartial#render_partial
  0.05      0.00     0.00     0.00     0.00       22  String#to_sym
  0.05      0.04     0.00     0.00     0.04        1  ActionController::Benchmarking#render
  0.05      0.00     0.00     0.00     0.00        2  Kernel#instance_variable_names
  0.05      0.00     0.00     0.00     0.00       11  ActionController::RequestForgeryProtection#protect_against_forgery?
  0.05      0.00     0.00     0.00     0.00        4  ActiveRecord::DynamicFinderMatch#initialize
  0.05      0.00     0.00     0.00     0.00        7  ActiveRecord::ConnectionAdapters::SQLiteAdapter#catch_schema_changes
  0.05      0.00     0.00     0.00     0.00        2  ActiveRecord::Calculations::ClassMethods#column_alias_for
  0.05      0.00     0.00     0.00     0.00        9  ActionView::Helpers::InstanceTag#tag_name
  0.05      0.00     0.00     0.00     0.00       25  Hash#initialize
  0.05      0.00     0.00     0.00     0.00        4  <Class::ActiveRecord::ConnectionAdapters::Column>#value_to_boolean
  0.05      0.00     0.00     0.00     0.00       19  Time#initialize
  0.05      0.00     0.00     0.00     0.00       14  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.05      0.00     0.00     0.00     0.00        9  SimpleForm::Inputs::Base#attribute_required?
  0.05      0.00     0.00     0.00     0.00        2  <Class::ActiveRecord::Base>#human_name
  0.05      0.04     0.00     0.00     0.04        1  ActionView::Base::CompiledTemplates#_run_erb_app47views47tasks47index46html46erb
  0.05      0.00     0.00     0.00     0.00        5  SimpleForm::Inputs::Base#lookup_action
  0.05      0.00     0.00     0.00     0.00       14  Array#zip
  0.05      0.00     0.00     0.00     0.00        5  ActionView::Helpers::AssetTagHelper#rewrite_asset_path
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.05      0.00     0.00     0.00     0.00        9  ActionView::Helpers::InstanceTag#sanitized_object_name
  0.05      0.00     0.00     0.00     0.00        6  ActionController::Routing::Route#append_query_string
  0.05      0.00     0.00     0.00     0.00        6  ActionController::PolymorphicRoutes#extract_record
  0.05      0.00     0.00     0.00     0.00       19  <Class::Task(id: integer, name: string, done: boolean, created_at: datetime, updated_at: datetime, list_id: integer)>#table_name
  0.05      0.00     0.00     0.00     0.00        3  ActiveSupport::Callbacks#run_callbacks
  0.05      0.00     0.00     0.00     0.00       12  Enumerable#map
  0.05      0.00     0.00     0.00     0.00        7  ActiveSupport::BufferedLogger#debug?
  0.05      0.00     0.00     0.00     0.00        1  Rack::Request#POST
  0.05      0.00     0.00     0.00     0.00       12  Hash#update
  0.05      0.00     0.00     0.00     0.00        8  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge!
